clone_id,total_cells,LV,Atria,Meso,Endocardium,Pericardium,Endothelial,ExE Meso,Endoderm
1,11,4,0,0,3,0,0,4,0
4,8,0,0,8,0,0,0,0,0
7,8,4,0,0,0,0,0,0,4
8,4,0,4,0,0,0,0,0,0
10,4,0,0,0,0,0,0,0,4
13,7,0,0,4,3,0,0,0,0
15,13,8,0,3,2,0,0,0,0
19,4,0,0,0,0,4,0,0,0
20,5,0,0,5,0,0,0,0,0
25,9,5,0,0,4,0,0,0,0
28,4,0,0,4,0,0,0,0,0
31,4,0,0,0,0,4,0,0,0
34,3,0,0,0,0,0,0,3,0
39,4,2,0,2,0,0,0,0,0
43,4,4,0,0,0,0,0,0,0
44,3,0,0,3,0,0,0,0,0
48,4,0,4,0,0,0,0,0,0
54,4,0,4,0,0,0,0,0,0
64,4,0,1,3,0,0,0,0,0
74,4,0,2,2,0,0,0,0,0
76,3,0,1,2,0,0,0,0,0
77,5,0,1,4,0,0,0,0,0
80,7,0,1,6,0,0,0,0,0
84,5,0,2,3,0,0,0,0,0
86,4,0,0,4,0,0,0,0,0
88,2,0,0,0,0,0,0,0,2
89,2,0,0,0,0,0,0,0,2
92,6,4,0,0,0,0,0,0,2
93,4,0,0,4,0,0,0,0,0
94,3,0,0,3,0,0,0,0,0
95,2,0,0,2,0,0,0,0,0
99,4,4,0,0,0,0,0,0,0
105,3,0,0,0,0,3,0,0,0
109,12,4,0,4,0,4,0,0,0
111,2,0,0,2,0,0,0,0,0
118,13,0,6,7,0,0,0,0,0
121,4,0,0,4,0,0,0,0,0
129,6,4,0,2,0,0,0,0,0
139,14,0,0,6,8,0,0,0,0
152,13,0,7,6,0,0,0,0,0
159,3,0,0,3,0,0,0,0,0
174,2,2,0,0,0,0,0,0,0
181,2,0,0,2,0,0,0,0,0
199,8,8,0,0,0,0,0,0,0
201,2,0,0,2,0,0,0,0,0
207,3,0,0,3,0,0,0,0,0
213,4,0,4,0,0,0,0,0,0
217,3,0,1,2,0,0,0,0,0
227,5,0,3,2,0,0,0,0,0
236,8,8,0,0,0,0,0,0,0
237,4,2,0,0,2,0,0,0,0
238,14,6,0,2,0,0,0,6,0
248,8,0,0,0,0,0,0,8,0
254,4,4,0,0,0,0,0,0,0
256,4,0,0,0,4,0,0,0,0
279,6,0,0,0,0,0,0,6,0
319,13,13,0,0,0,0,0,0,0
355,4,4,0,0,0,0,0,0,0
357,9,0,0,0,0,9,0,0,0
364,3,0,2,1,0,0,0,0,0
374,4,0,4,0,0,0,0,0,0
375,2,0,2,0,0,0,0,0,0
379,4,0,0,4,0,0,0,0,0
385,7,4,0,3,0,0,0,0,0
392,8,0,0,0,0,0,0,8,0
393,3,3,0,0,0,0,0,0,0
395,8,4,0,0,0,0,0,4,0
424,2,0,0,0,0,0,0,2,0
430,8,8,0,0,0,0,0,0,0
440,7,0,0,7,0,0,0,0,0
453,8,2,0,2,0,4,0,0,0
466,4,0,0,0,4,0,0,0,0
486,11,0,2,1,0,0,0,8,0
506,6,6,0,0,0,0,0,0,0
508,4,4,0,0,0,0,0,0,0
511,2,0,0,2,0,0,0,0,0
518,3,0,0,3,0,0,0,0,0
529,3,0,0,3,0,0,0,0,0
531,2,0,0,2,0,0,0,0,0
557,2,0,2,0,0,0,0,0,0
574,4,0,4,0,0,0,0,0,0
586,2,2,0,0,0,0,0,0,0
605,13,0,0,0,0,0,0,13,0
624,2,2,0,0,0,0,0,0,0
630,2,0,0,0,0,0,0,2,0
646,6,0,0,4,0,0,0,2,0
652,2,0,0,0,0,0,0,0,2
657,2,0,0,0,2,0,0,0,0
659,10,0,2,8,0,0,0,0,0
660,2,2,0,0,0,0,0,0,0
664,4,4,0,0,0,0,0,0,0
665,5,0,2,3,0,0,0,0,0
666,2,1,0,1,0,0,0,0,0
670,3,0,2,1,0,0,0,0,0
671,2,2,0,0,0,0,0,0,0
678,4,0,0,0,0,4,0,0,0
709,7,1,0,6,0,0,0,0,0
720,2,0,0,0,0,0,0,2,0
725,8,0,0,8,0,0,0,0,0
733,2,0,0,0,2,0,0,0,0
755,8,0,0,8,0,0,0,0,0
798,8,8,0,0,0,0,0,0,0
814,6,0,0,0,0,0,0,6,0
820,15,0,0,15,0,0,0,0,0
831,3,2,0,1,0,0,0,0,0
867,6,0,0,0,0,0,0,6,0
879,4,0,1,3,0,0,0,0,0
921,2,0,0,2,0,0,0,0,0
947,4,0,0,0,0,0,0,0,4
956,9,0,0,9,0,0,0,0,0
989,4,0,0,4,0,0,0,0,0
991,4,0,0,4,0,0,0,0,0
1059,7,0,0,0,0,7,0,0,0
1067,5,0,0,0,0,0,0,5,0
1099,7,0,0,0,0,7,0,0,0
1171,20,0,0,0,2,0,0,18,0
1183,9,8,0,1,0,0,0,0,0
1198,7,4,0,3,0,0,0,0,0
1222,4,0,0,4,0,0,0,0,0
1223,4,0,0,4,0,0,0,0,0
1249,18,6,0,6,0,0,6,0,0
1301,8,0,0,0,0,8,0,0,0
1335,4,0,0,4,0,0,0,0,0
1338,3,0,0,3,0,0,0,0,0
1343,3,0,0,0,0,0,0,3,0
1373,5,0,0,0,0,0,0,5,0
1391,4,0,0,0,0,0,0,4,0
1395,3,0,0,0,0,0,0,3,0
1397,6,0,0,0,0,0,4,2,0
1401,4,0,0,4,0,0,0,0,0
1403,2,0,0,2,0,0,0,0,0
1406,2,0,0,2,0,0,0,0,0
1409,8,0,0,8,0,0,0,0,0
1420,2,0,0,0,0,0,0,2,0
1455,3,0,0,0,0,0,0,3,0
1471,3,0,0,0,0,0,0,3,0
1507,12,0,0,12,0,0,0,0,0
1518,4,2,0,2,0,0,0,0,0
1520,14,10,0,4,0,0,0,0,0
1523,7,0,0,5,2,0,0,0,0
1526,9,0,0,0,0,0,0,9,0
1527,10,4,0,6,0,0,0,0,0
1536,14,0,0,14,0,0,0,0,0
1541,18,0,0,18,0,0,0,0,0
1546,5,0,0,5,0,0,0,0,0
1570,3,0,0,1,2,0,0,0,0
1579,3,0,0,0,0,0,3,0,0
1581,13,0,1,12,0,0,0,0,0
1586,2,0,2,0,0,0,0,0,0
1589,15,0,0,0,4,0,0,11,0
1629,6,2,0,0,4,0,0,0,0
1946,8,0,0,0,4,0,0,4,0
1950,4,0,2,2,0,0,0,0,0
1963,4,0,4,0,0,0,0,0,0
2014,4,4,0,0,0,0,0,0,0
2096,4,0,0,4,0,0,0,0,0
2112,7,3,0,4,0,0,0,0,0
2134,7,0,0,7,0,0,0,0,0
2157,9,0,0,9,0,0,0,0,0
2177,8,0,0,0,0,0,0,8,0
2192,4,0,0,4,0,0,0,0,0
2303,15,13,0,2,0,0,0,0,0
2328,8,0,0,8,0,0,0,0,0
2356,4,0,0,0,0,0,4,0,0
2361,4,0,0,4,0,0,0,0,0
2390,8,0,0,8,0,0,0,0,0
2415,8,0,0,8,0,0,0,0,0
2460,9,3,0,0,0,0,0,6,0
2516,4,4,0,0,0,0,0,0,0
2617,4,0,0,4,0,0,0,0,0
2636,4,0,0,0,0,0,0,0,4
2642,10,0,0,0,0,0,0,10,0
2671,4,0,0,4,0,0,0,0,0
2672,6,0,0,0,0,0,0,6,0
2689,6,2,0,4,0,0,0,0,0
2690,6,0,0,6,0,0,0,0,0
2693,14,4,0,10,0,0,0,0,0
2721,7,0,0,7,0,0,0,0,0
2750,4,0,3,1,0,0,0,0,0
2757,5,5,0,0,0,0,0,0,0
2762,10,0,0,10,0,0,0,0,0
2766,7,0,0,7,0,0,0,0,0
2767,4,0,0,2,2,0,0,0,0
2815,6,0,0,6,0,0,0,0,0
2816,8,4,0,0,0,0,0,4,0
3029,11,0,0,0,0,0,0,11,0
3033,10,0,0,0,0,0,0,10,0
3073,2,0,0,0,0,0,0,2,0
3080,2,0,0,0,0,0,0,2,0
3093,15,0,0,15,0,0,0,0,0
3094,5,0,0,0,0,0,0,5,0
3125,8,0,0,8,0,0,0,0,0
3146,7,2,0,5,0,0,0,0,0
3173,4,0,0,0,0,0,0,4,0
3184,4,0,0,0,0,0,0,4,0
3215,3,0,0,3,0,0,0,0,0
3216,8,0,8,0,0,0,0,0,0
3266,5,0,0,5,0,0,0,0,0
3276,6,0,0,0,0,6,0,0,0
3318,7,0,0,1,2,0,0,4,0
3347,2,0,0,0,0,0,0,2,0
3349,3,0,0,0,0,0,0,3,0
3458,3,0,0,3,0,0,0,0,0
3578,4,0,0,0,0,2,0,2,0
3591,5,1,0,2,0,2,0,0,0
3595,4,4,0,0,0,0,0,0,0
3597,11,0,0,11,0,0,0,0,0
3599,3,0,0,3,0,0,0,0,0
3603,4,0,0,4,0,0,0,0,0
3610,2,0,0,2,0,0,0,0,0
3614,4,0,0,4,0,0,0,0,0
3625,8,0,0,8,0,0,0,0,0
3632,8,0,0,8,0,0,0,0,0
3663,8,8,0,0,0,0,0,0,0
3664,5,2,0,3,0,0,0,0,0
3943,8,2,0,6,0,0,0,0,0
3944,8,8,0,0,0,0,0,0,0
3945,4,4,0,0,0,0,0,0,0
3949,8,6,0,2,0,0,0,0,0
3951,4,4,0,0,0,0,0,0,0
3952,8,8,0,0,0,0,0,0,0
