clone_id,size,bin,R1_OFT,R2_RV,R3_LV,R4_AVC,R5_AB,R6_Atria,n_regions,leaf_regions,leaf_fate_simple
E8.5-171,3.0,Small,1,0,0,0,0,0,1,{OFT},OFT
E8.5-236,5.0,Small,1,0,0,0,0,0,1,{OFT},OFT
E8.5-17,6.0,Small,1,0,0,0,0,0,1,{OFT},OFT
E8.5-199,6.0,Small,1,0,0,0,0,0,1,{OFT},OFT
E8.5-78,6.0,Small,1,0,0,0,0,0,1,{OFT},OFT
E8.5-220,7.0,Small,1,0,0,0,0,0,1,{OFT},OFT
E8.5-10,10.0,Small,1,0,0,0,0,0,1,{OFT},OFT
E8.5-105,3.0,Small,0,1,0,0,0,0,1,{RV},RV
E8.5-209,4.0,Small,0,1,0,0,0,0,1,{RV},RV
E8.5-69,6.0,Small,0,1,0,0,0,0,1,{RV},RV
E8.5-122,7.0,Small,0,1,0,0,0,0,1,{RV},RV
E8.5-124,4.0,Small,0,0,1,0,0,0,1,{LV},LV
E8.5-23,4.0,Small,0,0,1,0,0,0,1,{LV},LV
E8.5-57,4.0,Small,0,0,1,0,0,0,1,{LV},LV
E8.5-208,5.0,Small,0,0,1,0,0,0,1,{LV},LV
E8.5-22,8.0,Small,0,0,1,0,0,0,1,{LV},LV
E8.5-62,8.0,Small,0,0,1,0,0,0,1,{LV},LV
E8.5-89,8.0,Small,0,0,1,0,0,0,1,{LV},LV
E8.5-132,8.0,Small,0,0,1,0,0,0,1,{LV},LV
E8.5-98,11.0,Small,0,0,1,0,0,0,1,{LV},LV
E8.5-159,12.0,Small,0,0,1,0,0,0,1,{LV},LV
E8.5-162,16.0,Small,0,0,1,0,0,0,1,{LV},LV
E8.5-153,27.0,Small,0,0,1,0,0,0,1,{LV},LV
E8.5-180,30.0,Small,0,0,1,0,0,0,1,{LV},LV
E8.5-91,42.0,Large,0,0,1,0,0,1,2,"{LV, Atria}",LV+Atria
E8.5-106,4.0,Small,0,0,0,1,0,0,1,{AVC},AVC
E8.5-29,8.0,Small,0,0,0,1,0,0,1,{AVC},AVC
E8.5-194,4.0,Small,0,0,0,0,1,0,1,{AB},AB
E8.5-137,4.0,Small,0,0,0,0,1,0,1,{AB},AB
E8.5-32,5.0,Small,0,0,0,0,1,0,1,{AB},AB
E8.5-79,10.0,Small,0,0,0,0,1,0,1,{AB},AB
E8.5-63,4.0,Small,0,0,0,0,1,0,1,{AB},AB
E8.5-178,4.0,Small,0,0,0,0,0,1,1,{Atria},Atria
E8.5-146,4.0,Small,0,0,0,0,0,1,1,{Atria},Atria
E8.5-21,5.0,Small,0,0,0,0,0,1,1,{Atria},Atria
E8.5-224,6.0,Small,0,0,0,0,0,1,1,{Atria},Atria
E8.5-6,7.0,Small,0,0,0,0,0,1,1,{Atria},Atria
E8.5-7,7.0,Small,0,0,0,0,0,1,1,{Atria},Atria
E8.5-116,8.0,Small,0,0,0,0,0,1,1,{Atria},Atria
E8.5-172,8.0,Small,0,0,0,0,0,1,1,{Atria},Atria
E8.5-193,10.0,Small,0,0,0,0,0,1,1,{Atria},Atria
E8.5-20,16.0,Small,0,0,0,0,0,1,1,{Atria},Atria
E8.5-138,16.0,Small,0,0,0,0,0,1,1,{Atria},Atria
E8.5-110,17.0,Small,0,0,0,0,0,1,1,{Atria},Atria
E8.5-221,20.0,Small,0,0,0,0,0,1,1,{Atria},Atria
E8.5-16,25.0,Small,0,0,0,0,0,1,1,{Atria},Atria
E8.5-201,42.0,Large,0,0,0,0,0,1,1,{Atria},Atria
E8.5-43,7.0,Small,1,1,0,0,0,0,2,"{OFT, RV}",OFT+RV
E8.5-165,11.0,Small,1,1,0,0,0,0,2,"{OFT, RV}",OFT+RV
E8.5-13,13.0,Small,1,1,0,0,0,0,2,"{OFT, RV}",OFT+RV
E8.5-145,13.0,Small,1,1,0,0,0,0,2,"{OFT, RV}",OFT+RV
E8.5-185,18.0,Small,1,1,0,0,0,0,2,"{OFT, RV}",OFT+RV
E8.5-163,19.0,Small,1,1,0,0,0,0,2,"{OFT, RV}",OFT+RV
E8.5-184,20.0,Small,1,1,0,0,0,0,2,"{OFT, RV}",OFT+RV
E8.5-4,20.0,Small,1,1,0,0,0,0,2,"{OFT, RV}",OFT+RV
E8.5-85,24.0,Small,1,1,0,0,0,0,2,"{OFT, RV}",OFT+RV
E8.5-128,54.0,Large,1,1,0,0,0,0,2,"{OFT, RV}",OFT+RV
E8.5-181,21.0,Small,0,1,1,0,0,0,2,"{RV, LV}",RV+LV
E8.5-175,24.0,Small,0,1,1,0,0,0,2,"{RV, LV}",RV+LV
E8.5-96,42.0,Large,0,1,1,0,0,0,2,"{RV, LV}",RV+LV
E8.5-176,42.0,Large,0,0,1,1,0,0,2,"{LV, AVC}",LV+AVC
E8.5-66,8.0,Small,0,0,0,1,1,0,2,"{AVC, AB}",AVC+AB
E8.5-135,9.0,Small,0,0,0,1,1,0,2,"{AVC, AB}",AVC+AB
E8.5-117,19.0,Small,0,0,0,1,1,0,2,"{AVC, AB}",AVC+AB
E8.5-49,31.0,Large,0,0,0,1,1,0,2,"{AVC, AB}",AVC+AB
E8.5-15,12.0,Small,0,0,0,0,1,1,2,"{AB, Atria}",AB+Atria
E8.5-144,20.0,Small,0,0,0,0,1,1,2,"{AB, Atria}",AB+Atria
E8.5-227,30.0,Small,0,0,0,0,1,1,2,"{AB, Atria}",AB+Atria
E8.5-177,17.0,Small,0,1,0,1,0,0,2,"{RV, AVC}",RV+AVC
E8.5-215,41.0,Large,0,1,1,1,0,0,3,"{RV, LV, AVC}",RV+LV+AVC
E8.5-102,42.0,Large,0,1,1,1,0,0,3,"{RV, LV, AVC}",RV+LV+AVC
E8.5-68,11.0,Small,0,0,0,1,1,1,3,"{AVC, AB, Atria}",AVC+AB+Atria
E8.5-75,38.0,Large,0,0,0,1,1,1,3,"{AVC, AB, Atria}",AVC+AB+Atria
E8.5-218,30.0,Small,0,0,1,1,1,1,4,"{LV, AVC, AB, Atria}",LV+AVC+AB+Atria
E8.5-72,34.0,Large,0,0,1,1,1,1,4,"{LV, AVC, AB, Atria}",LV+AVC+AB+Atria
E8.5-77,35.0,Large,0,0,1,1,0,1,3,"{LV, AVC, Atria}",LV+AVC+Atria
E8.5-139,75.0,Large,0,0,1,0,1,1,3,"{LV, AB, Atria}",LV+AB+Atria
E8.5-200,22.0,Small,1,0,0,1,1,0,3,"{OFT, AVC, AB}",OFT+AVC+AB
E8.5-166,36.0,Large,0,1,1,1,0,1,4,"{RV, LV, AVC, Atria}",RV+LV+AVC+Atria
E8.5-156,48.0,Large,0,1,1,1,1,1,5,"{RV, LV, AVC, AB, Atria}",RV+LV+AVC+AB+Atria
E8.5-238,52.0,Large,0,1,0,0,0,1,2,"{RV, Atria}",RV+Atria
E8.5-237,85.0,Large,0,1,1,1,1,1,5,"{RV, LV, AVC, AB, Atria}",RV+LV+AVC+AB+Atria
E8.5-25,91.0,Large,0,1,1,1,1,1,5,"{RV, LV, AVC, AB, Atria}",RV+LV+AVC+AB+Atria
E8.5-155,6.0,Small,1,0,0,0,0,1,2,"{OFT, Atria}",OFT+Atria
E8.5-35,17.0,Small,1,0,0,0,0,1,2,"{OFT, Atria}",OFT+Atria
E8.5-127,20.0,Small,0,1,0,0,0,1,2,"{RV, Atria}",RV+Atria
E8.5-60,23.0,Small,1,0,0,0,1,1,3,"{OFT, AB, Atria}",OFT+AB+Atria
E8.5-14,32.0,Large,1,1,0,0,0,1,3,"{OFT, RV, Atria}",OFT+RV+Atria
E8.5-191,36.0,Large,1,1,0,1,0,1,4,"{OFT, RV, AVC, Atria}",OFT+RV+AVC+Atria
E8.5-44,37.0,Large,1,0,0,0,0,1,2,"{OFT, Atria}",OFT+Atria
E8.5-204,40.0,Large,1,1,0,0,1,1,4,"{OFT, RV, AB, Atria}",OFT+RV+AB+Atria
E8.5-198,57.0,Large,1,1,1,0,0,1,4,"{OFT, RV, LV, Atria}",OFT+RV+LV+Atria
E8.5-2,82.0,Large,1,1,1,1,1,1,6,"{OFT, RV, LV, AVC, AB, Atria}",OFT+RV+LV+AVC+AB+Atria
E8.5-170,142.0,,1,1,1,1,1,1,6,"{OFT, RV, LV, AVC, AB, Atria}",OFT+RV+LV+AVC+AB+Atria
