parent_regions,parent_n,parent_mean_size,child_regions,child_n,child_mean_size,delta_size,regions_lost
"{AB, AVC, Atria, LV, OFT, RV}",1,82.0,"{AB, AVC, Atria, LV, RV}",3,74.66666666666667,7.333333333333329,1
"{AB, AVC, Atria, LV, OFT, RV}",1,82.0,"{AB, AVC, Atria, LV}",2,32.0,50.0,2
"{AB, AVC, Atria, LV, OFT, RV}",1,82.0,"{AB, Atria, OFT, RV}",1,40.0,42.0,2
"{AB, AVC, Atria, LV, OFT, RV}",1,82.0,"{AVC, Atria, LV, RV}",1,36.0,46.0,2
"{AB, AVC, Atria, LV, OFT, RV}",1,82.0,"{AVC, Atria, OFT, RV}",1,36.0,46.0,2
"{AB, AVC, Atria, LV, OFT, RV}",1,82.0,"{Atria, LV, OFT, RV}",1,57.0,25.0,2
"{AB, AVC, Atria, LV, RV}",3,74.66666666666667,"{AB, AVC, Atria, LV}",2,32.0,42.66666666666667,1
"{AB, AVC, Atria, LV, RV}",3,74.66666666666667,"{AB, AVC, Atria}",2,24.5,50.16666666666667,2
"{AB, AVC, Atria, LV, RV}",3,74.66666666666667,"{AVC, Atria, LV, RV}",1,36.0,38.66666666666667,1
"{AB, AVC, Atria, LV, RV}",3,74.66666666666667,"{AVC, Atria, LV}",1,35.0,39.66666666666667,2
"{AB, AVC, Atria, LV, RV}",3,74.66666666666667,"{AVC, LV, RV}",2,41.5,33.16666666666667,2
"{AB, AVC, Atria, LV}",2,32.0,"{AB, AVC, Atria}",2,24.5,7.5,1
"{AB, AVC, Atria, LV}",2,32.0,"{AB, AVC}",4,16.75,15.25,2
"{AB, AVC, Atria, LV}",2,32.0,"{AB, Atria}",3,20.666666666666668,11.333333333333332,2
"{AB, AVC, Atria}",2,24.5,"{AB, AVC}",4,16.75,7.75,1
"{AB, AVC, Atria}",2,24.5,"{AB, Atria}",3,20.666666666666668,3.833333333333332,1
"{AB, AVC, Atria}",2,24.5,{AB},5,5.4,19.1,2
"{AB, AVC, Atria}",2,24.5,{AVC},2,6.0,18.5,2
"{AB, AVC, Atria}",2,24.5,{Atria},15,13.0,11.5,2
"{AB, AVC, OFT}",1,22.0,"{AB, AVC}",4,16.75,5.25,1
"{AB, AVC, OFT}",1,22.0,{AB},5,5.4,16.6,2
"{AB, AVC, OFT}",1,22.0,{AVC},2,6.0,16.0,2
"{AB, AVC, OFT}",1,22.0,{OFT},7,6.142857142857143,15.857142857142858,2
"{AB, AVC}",4,16.75,{AB},5,5.4,11.35,1
"{AB, AVC}",4,16.75,{AVC},2,6.0,10.75,1
"{AB, Atria, LV}",1,75.0,"{AB, Atria}",3,20.666666666666668,54.33333333333333,1
"{AB, Atria, LV}",1,75.0,{AB},5,5.4,69.6,2
"{AB, Atria, LV}",1,75.0,"{Atria, LV}",1,42.0,33.0,1
"{AB, Atria, LV}",1,75.0,{Atria},15,13.0,62.0,2
"{AB, Atria, LV}",1,75.0,{LV},13,11.153846153846153,63.84615384615385,2
"{AB, Atria, OFT, RV}",1,40.0,"{AB, Atria, OFT}",1,23.0,17.0,1
"{AB, Atria, OFT, RV}",1,40.0,"{AB, Atria}",3,20.666666666666668,19.333333333333332,2
"{AB, Atria, OFT, RV}",1,40.0,"{Atria, OFT, RV}",1,32.0,8.0,1
"{AB, Atria, OFT, RV}",1,40.0,"{Atria, OFT}",3,20.0,20.0,2
