node_regions,n_regions,n_clones,mean_size,n_paths_through,dominant_fate,dominant_frac,frac_OFT,frac_RV,frac_LV,frac_AVC,frac_AB,frac_Atria,cluster_k3
"{AB, AVC, Atria, LV, OFT, RV}",6,1,82.0,105,Atria,0.2571428571428571,0.1619047619047619,0.19047619047619047,0.08571428571428572,0.1523809523809524,0.1523809523809524,0.2571428571428571,
"{AB, AVC, Atria, LV, RV}",5,3,74.66666666666667,35,AVC,0.2857142857142857,0.0,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.22857142857142856,0.2,2
"{AB, AVC, Atria, LV}",4,2,32.0,22,AB,0.45454545454545453,0.0,0.0,0.0,0.2727272727272727,0.45454545454545453,0.2727272727272727,2
"{AB, AVC, Atria}",3,2,24.5,21,AB,0.42857142857142855,0.0,0.0,0.0,0.2857142857142857,0.42857142857142855,0.2857142857142857,2
"{AB, AVC}",2,4,16.75,12,AVC,0.5,0.0,0.0,0.0,0.5,0.5,0.0,2
{AB},1,5,5.4,20,AB,1.0,0.0,0.0,0.0,0.0,1.0,0.0,
"{AB, Atria}",2,3,20.666666666666668,16,AB,0.5,0.0,0.0,0.0,0.0,0.5,0.5,1
"{AB, Atria, OFT, RV}",4,1,40.0,22,Atria,0.36363636363636365,0.3181818181818182,0.18181818181818182,0.0,0.0,0.13636363636363635,0.36363636363636365,1
"{AB, Atria, OFT}",3,1,23.0,7,Atria,0.42857142857142855,0.2857142857142857,0.0,0.0,0.0,0.2857142857142857,0.42857142857142855,1
{AVC},1,2,6.0,19,AVC,1.0,0.0,0.0,0.0,1.0,0.0,0.0,
"{AVC, Atria, LV, RV}",4,1,36.0,14,RV,0.2857142857142857,0.0,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.0,0.14285714285714285,3
"{AVC, Atria, LV}",3,1,35.0,9,LV,0.3333333333333333,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,3
"{AVC, RV}",2,1,17.0,8,RV,0.5,0.0,0.5,0.0,0.5,0.0,0.0,3
"{AVC, LV, RV}",3,2,41.5,7,RV,0.42857142857142855,0.0,0.42857142857142855,0.2857142857142857,0.2857142857142857,0.0,0.0,3
"{AVC, Atria, OFT, RV}",4,1,36.0,13,OFT,0.38461538461538464,0.38461538461538464,0.3076923076923077,0.0,0.07692307692307693,0.0,0.23076923076923078,1
{Atria},1,15,13.0,30,Atria,1.0,0.0,0.0,0.0,0.0,0.0,1.0,
"{Atria, OFT}",2,3,20.0,14,OFT,0.5,0.5,0.0,0.0,0.0,0.0,0.5,1
"{Atria, OFT, RV}",3,1,32.0,21,OFT,0.42857142857142855,0.42857142857142855,0.2857142857142857,0.0,0.0,0.0,0.2857142857142857,1
"{Atria, RV}",2,2,36.0,4,RV,0.5,0.0,0.5,0.0,0.0,0.0,0.5,1
"{Atria, LV, OFT, RV}",4,1,57.0,17,OFT,0.29411764705882354,0.29411764705882354,0.29411764705882354,0.11764705882352941,0.0,0.0,0.29411764705882354,1
"{Atria, LV}",2,1,42.0,4,LV,0.5,0.0,0.0,0.5,0.0,0.0,0.5,3
{LV},1,13,11.153846153846153,12,LV,1.0,0.0,0.0,1.0,0.0,0.0,0.0,
"{LV, RV}",2,3,29.0,8,RV,0.5,0.0,0.5,0.5,0.0,0.0,0.0,3
{OFT},1,7,6.142857142857143,18,OFT,1.0,1.0,0.0,0.0,0.0,0.0,0.0,
"{OFT, RV}",2,10,19.9,12,OFT,0.5,0.5,0.5,0.0,0.0,0.0,0.0,1
{RV},1,4,5.0,20,RV,1.0,0.0,1.0,0.0,0.0,0.0,0.0,
"{AB, AVC, OFT}",3,1,22.0,5,AVC,0.4,0.2,0.0,0.0,0.4,0.4,0.0,2
"{AB, Atria, LV}",3,1,75.0,7,Atria,0.42857142857142855,0.0,0.0,0.2857142857142857,0.0,0.2857142857142857,0.42857142857142855,1
"{AVC, LV}",2,1,42.0,2,LV,0.5,0.0,0.0,0.5,0.5,0.0,0.0,3
