group,component_index,root_bits,root_regions,leaf_bits,leaf_regions,path_index,path_length,node_depth,node_bits,node_regions,clone_id,size,bin
All,1,111111,"{AB, AVC, Atria, LV, OFT, RV}",000010,{AB},1,5,0,111111,"{AB, AVC, Atria, LV, OFT, RV}",E8.5-2,82.0,Large
All,1,111111,"{AB, AVC, Atria, LV, OFT, RV}",000010,{AB},1,5,0,111111,"{AB, AVC, Atria, LV, OFT, RV}",E8.5-170,142.0,
All,1,111111,"{AB, AVC, Atria, LV, OFT, RV}",000010,{AB},1,5,0,111111,"{AB, AVC, Atria, LV, OFT, RV}",E8.5-156,48.0,Large
All,1,111111,"{AB, AVC, Atria, LV, OFT, RV}",000010,{AB},1,5,0,111111,"{AB, AVC, Atria, LV, OFT, RV}",E8.5-237,85.0,Large
All,1,111111,"{AB, AVC, Atria, LV, OFT, RV}",000010,{AB},1,5,0,111111,"{AB, AVC, Atria, LV, OFT, RV}",E8.5-25,91.0,Large
All,1,111111,"{AB, AVC, Atria, LV, OFT, RV}",000010,{AB},1,5,0,111111,"{AB, AVC, Atria, LV, OFT, RV}",E8.5-218,30.0,Small
All,1,111111,"{AB, AVC, Atria, LV, OFT, RV}",000010,{AB},1,5,0,111111,"{AB, AVC, Atria, LV, OFT, RV}",E8.5-72,34.0,Large
All,1,111111,"{AB, AVC, Atria, LV, OFT, RV}",000010,{AB},1,5,0,111111,"{AB, AVC, Atria, LV, OFT, RV}",E8.5-68,11.0,Small
All,1,111111,"{AB, AVC, Atria, LV, OFT, RV}",000010,{AB},1,5,0,111111,"{AB, AVC, Atria, LV, OFT, RV}",E8.5-75,38.0,Large
All,1,111111,"{AB, AVC, Atria, LV, OFT, RV}",000010,{AB},1,5,0,111111,"{AB, AVC, Atria, LV, OFT, RV}",E8.5-66,8.0,Small
All,1,111111,"{AB, AVC, Atria, LV, OFT, RV}",000010,{AB},1,5,0,111111,"{AB, AVC, Atria, LV, OFT, RV}",E8.5-135,9.0,Small
All,1,111111,"{AB, AVC, Atria, LV, OFT, RV}",000010,{AB},1,5,0,111111,"{AB, AVC, Atria, LV, OFT, RV}",E8.5-117,19.0,Small
All,1,111111,"{AB, AVC, Atria, LV, OFT, RV}",000010,{AB},1,5,0,111111,"{AB, AVC, Atria, LV, OFT, RV}",E8.5-49,31.0,Large
All,1,111111,"{AB, AVC, Atria, LV, OFT, RV}",000010,{AB},1,5,0,111111,"{AB, AVC, Atria, LV, OFT, RV}",E8.5-194,4.0,Small
