group,component_index,root_bits,root_regions,leaf_bits,leaf_regions,path_index,path_length,path_score,node_depth,node_bits,node_regions,node_n,node_mean_size,node_breadth
All,1,001011,"{LV, AB, Atria}",000010,{AB},2,2,2.0,0,001011,"{LV, AB, Atria}",1,75.0,3
All,1,001011,"{LV, AB, Atria}",000010,{AB},2,2,2.0,1,000011,"{AB, Atria}",3,20.666666666666668,2
All,1,001011,"{LV, AB, Atria}",000010,{AB},2,2,2.0,2,000010,{AB},5,5.4,1
All,1,001011,"{LV, AB, Atria}",000010,{AB},6,1,1.0,0,001011,"{LV, AB, Atria}",1,75.0,3
All,1,001011,"{LV, AB, Atria}",000010,{AB},6,1,1.0,1,000010,{AB},5,5.4,1
All,1,001011,"{LV, AB, Atria}",000001,{Atria},1,2,2.0,0,001011,"{LV, AB, Atria}",1,75.0,3
All,1,001011,"{LV, AB, Atria}",000001,{Atria},1,2,2.0,1,000011,"{AB, Atria}",3,20.666666666666668,2
All,1,001011,"{LV, AB, Atria}",000001,{Atria},1,2,2.0,2,000001,{Atria},15,13.0,1
All,1,001011,"{LV, AB, Atria}",000001,{Atria},3,2,2.0,0,001011,"{LV, AB, Atria}",1,75.0,3
All,1,001011,"{LV, AB, Atria}",000001,{Atria},3,2,2.0,1,001001,"{LV, Atria}",1,42.0,2
All,1,001011,"{LV, AB, Atria}",000001,{Atria},3,2,2.0,2,000001,{Atria},15,13.0,1
All,1,001011,"{LV, AB, Atria}",000001,{Atria},5,1,1.0,0,001011,"{LV, AB, Atria}",1,75.0,3
All,1,001011,"{LV, AB, Atria}",000001,{Atria},5,1,1.0,1,000001,{Atria},15,13.0,1
All,1,001011,"{LV, AB, Atria}",001000,{LV},4,2,2.0,0,001011,"{LV, AB, Atria}",1,75.0,3
All,1,001011,"{LV, AB, Atria}",001000,{LV},4,2,2.0,1,001001,"{LV, Atria}",1,42.0,2
All,1,001011,"{LV, AB, Atria}",001000,{LV},4,2,2.0,2,001000,{LV},13,11.153846153846152,1
All,1,001011,"{LV, AB, Atria}",001000,{LV},7,1,1.0,0,001011,"{LV, AB, Atria}",1,75.0,3
All,1,001011,"{LV, AB, Atria}",001000,{LV},7,1,1.0,1,001000,{LV},13,11.153846153846152,1
All,1,001100,"{LV, AVC}",000100,{AVC},8,1,1.0,0,001100,"{LV, AVC}",1,42.0,2
All,1,001100,"{LV, AVC}",000100,{AVC},8,1,1.0,1,000100,{AVC},2,6.0,1
